,User,Winner,Loser,Industry
0,ujio,Hue,Looka,Construction
1,ujio,Looka,Hue,Software
2,ujio,Hue,Looka,Beauty Spa
3,ujio,Looka,Hue,Coffee Shop
4,ujio,Looka,Hue,Construction
5,ujio,Looka,Hue,Beauty Spa
6,ujio,Hue,Looka,Coffee Shop
7,ujio,Looka,Hue,Construction
8,ujio,Hue,Looka,Construction
9,ujio,Looka,Hue,Beauty Spa
10,ujio,Hue,Looka,Real Estate
11,ujio,Hue,Looka,Construction
12,ujio,Looka,Hue,Real Estate
13,ujio,Hue,Looka,Construction
14,asda,Hue,Looka,Coffee Shop
15,Mandy Chang,Hue,Looka,Coffee Shop
16,Mandy Chang,Hue,Looka,Coffee Shop
17,Mandy Chang,Looka,Hue,Software
18,Mandy Chang,Hue,Looka,Real Estate
19,Mandy Chang,Hue,Looka,Beauty Spa
20,Mandy Chang,Hue,Looka,Real Estate
21,Mandy Chang,Hue,Looka,Construction
22,Mandy Chang,Hue,Looka,Software
23,Mandy Chang,Looka,Hue,Software
24,Mandy Chang,Looka,Hue,Beauty Spa
25,Mandy Chang,Looka,Hue,Coffee Shop
26,Mandy Chang,Looka,Hue,Software
27,Mandy Chang,Looka,Hue,Beauty Spa
28,Mandy Chang,Hue,Looka,Real Estate
29,Mandy Chang,Looka,Hue,Beauty Spa
30,Mandy Chang,Hue,Looka,Real Estate
31,Mandy Chang,Hue,Looka,Coffee Shop
32,Mandy Chang,Hue,Looka,Construction
33,Mandy Chang,Looka,Hue,Construction
34,Mandy Chang,Looka,Hue,Construction
35,Mandy Chang,Hue,Looka,Construction
36,Mandy Chang,Hue,Looka,Real Estate
37,Mandy Chang,Hue,Looka,Construction
38,Mandy Chang,Looka,Hue,Construction
39,Mandy Chang,Hue,Looka,Construction
40,Mandy Chang,Looka,Hue,Beauty Spa
41,Mandy Chang,Hue,Looka,Real Estate
42,Mandy Chang,Hue,Looka,Beauty Spa
43,Mandy Chang,Looka,Hue,Software
44,Mandy Chang,Hue,Looka,Software
45,Mandy Chang,Hue,Looka,Beauty Spa
46,Mandy Chang,Looka,Hue,Real Estate
47,Mandy Chang,Hue,Looka,Construction
48,Mandy Chang,Looka,Hue,Construction
49,Mandy Chang,Hue,Looka,Construction
50,Mandy Chang,Looka,Hue,Real Estate
51,Mandy Chang,Looka,Hue,Construction
52,Mandy Chang,Looka,Hue,Coffee Shop
53,Mandy Chang,Looka,Hue,Construction
54,Mandy Chang,Hue,Looka,Construction
55,Mandy Chang,Looka,Hue,Real Estate
56,Mandy Chang,Hue,Looka,Beauty Spa
57,Mandy Chang,Looka,Hue,Beauty Spa
58,Mandy Chang,Hue,Looka,Coffee Shop
59,Mandy Chang,Hue,Looka,Coffee Shop
60,Mandy Chang,Looka,Hue,Real Estate
61,Mandy Chang,Looka,Hue,Real Estate
62,Mandy Chang,Looka,Hue,Software
63,Mandy Chang,Looka,Hue,Software
64,Mandy Chang,Hue,Looka,Real Estate
65,Mandy Chang,Looka,Hue,Real Estate
66,Mandy Chang,Looka,Hue,Beauty Spa
67,Mandy Chang,Looka,Hue,Beauty Spa
68,Mandy Chang,Hue,Looka,Beauty Spa
69,Mandy Chang,Hue,Looka,Coffee Shop
70,Mandy Chang,Looka,Hue,Construction
71,Mandy Chang,Hue,Looka,Software
72,Mandy Chang,Hue,Looka,Real Estate
73,Mandy Chang,Looka,Hue,Construction
74,Mandy Chang,Hue,Looka,Construction
75,Mandy Chang,Looka,Hue,Real Estate
76,Mandy Chang,Looka,Hue,Software
77,Mandy Chang,Hue,Looka,Construction
78,Mandy Chang,Hue,Looka,Software
79,Mandy Chang,Hue,Looka,Real Estate
80,Mandy Chang,Hue,Looka,Construction
81,Mandy Chang,Hue,Looka,Coffee Shop
82,Mandy Chang,Looka,Hue,Beauty Spa
83,Mandy Chang,Hue,Looka,Beauty Spa
84,Mandy Chang,Hue,Looka,Software
85,Mandy Chang,Hue,Looka,Software
86,Mandy Chang,Looka,Hue,Construction
87,Mandy Chang,Looka,Hue,Coffee Shop
88,Mandy Chang,Looka,Hue,Coffee Shop
89,Mandy Chang,Hue,Looka,Software
90,Mandy Chang,Hue,Looka,Coffee Shop
91,Mandy Chang,Looka,Hue,Real Estate
92,Mandy Chang,Hue,Looka,Construction
93,Mandy Chang,Hue,Looka,Coffee Shop
94,Mandy Chang,Hue,Looka,Beauty Spa
95,Mandy Chang,Hue,Looka,Real Estate
96,Mandy Chang,Looka,Hue,Real Estate
97,Mandy Chang,Hue,Looka,Coffee Shop
98,Mandy Chang,Hue,Looka,Beauty Spa
99,Mandy Chang,Looka,Hue,Construction
100,Mandy Chang,Hue,Looka,Coffee Shop
101,Mandy Chang,Hue,Looka,Beauty Spa
102,Mandy Chang,Looka,Hue,Coffee Shop
103,Mandy Chang,Hue,Looka,Construction
104,Mandy Chang,Hue,Looka,Real Estate
105,Mandy Chang,Looka,Hue,Software
106,Mandy Chang,Looka,Hue,Beauty Spa
107,Mandy Chang,Looka,Hue,Construction
108,Mandy Chang,Looka,Hue,Software
109,Mandy Chang,Looka,Hue,Real Estate
110,Mandy Chang,Hue,Looka,Coffee Shop
111,Mandy Chang,Hue,Looka,Coffee Shop
112,Mandy Chang,Looka,Hue,Software
113,Mandy Chang,Hue,Looka,Construction
114,Mandy Chang,Looka,Hue,Beauty Spa
115,Mandy Chang,Looka,Hue,Real Estate
116,Mandy Chang,Hue,Looka,Coffee Shop
117,Mandy Chang,Looka,Hue,Real Estate
118,Mandy Chang,Hue,Looka,Coffee Shop
119,Mandy Chang,Hue,Looka,Real Estate
120,Mandy Chang,Looka,Hue,Beauty Spa
121,Mandy Chang,Looka,Hue,Real Estate
122,Mandy Chang,Looka,Hue,Beauty Spa
123,Mandy Chang,Looka,Hue,Construction
124,Mandy Chang,Looka,Hue,Beauty Spa
125,Mandy Chang,Looka,Hue,Real Estate
126,Mandy Chang,Hue,Looka,Real Estate
127,Mandy Chang,Hue,Looka,Coffee Shop
128,Mandy Chang,Looka,Hue,Coffee Shop
129,Mandy Chang,Looka,Hue,Coffee Shop
130,Mandy Chang,Looka,Hue,Construction
131,Mandy Chang,Hue,Looka,Real Estate
132,Mandy Chang,Hue,Looka,Beauty Spa
133,Mandy Chang,Looka,Hue,Construction
134,Mandy Chang,Hue,Looka,Software
135,Mandy Chang,Hue,Looka,Real Estate
136,Mandy Chang,Hue,Looka,Beauty Spa
137,Mandy Chang,Hue,Looka,Coffee Shop
138,Mandy Chang,Looka,Hue,Construction
139,Mandy Chang,Looka,Hue,Real Estate
140,Mandy Chang,Looka,Hue,Beauty Spa
141,Mandy Chang,Hue,Looka,Beauty Spa
142,Mandy Chang,Hue,Looka,Beauty Spa
143,Mandy Chang,Hue,Looka,Beauty Spa
144,Mandy Chang,Looka,Hue,Construction
145,Mandy Chang,Hue,Looka,Beauty Spa
146,Mandy Chang,Looka,Hue,Coffee Shop
147,Mandy Chang,Looka,Hue,Software
148,Mandy Chang,Looka,Hue,Software
149,Mandy Chang,Hue,Looka,Coffee Shop
150,Mandy Chang,Looka,Hue,Beauty Spa
151,Mandy Chang,Hue,Looka,Software
152,Mandy Chang,Hue,Looka,Coffee Shop
153,Mandy Chang,Hue,Looka,Software
154,Mandy Chang,Looka,Hue,Software
155,Mandy Chang,Looka,Hue,Coffee Shop
156,Mandy Chang,Hue,Looka,Coffee Shop
157,Mandy Chang,Looka,Hue,Coffee Shop
158,Mandy Chang,Hue,Looka,Software
159,Mandy Chang,Looka,Hue,Software
160,Mandy Chang,Looka,Hue,Software
161,Mandy Chang,Hue,Looka,Software
162,Mandy Chang,Hue,Looka,Software
163,Mandy Chang,Looka,Hue,Software
164,Mandy Chang,Looka,Hue,Software
